Name,Aired,Broadcast,Duration,Status,Type,Premiered,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites
Hetalia: The Beautiful World,"2013-01-25,2013-06-21",none,00:05:00,Finished Airing,ONA,none,20,PG 13,Comedy,Funimation,Frontier Works,Studio Deen,70207,561
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,1991-11-02,none,01:14:00,Finished Airing,Movie,none,1,PG 13,"Comedy,Adventure",VIZ Media,Fuji TV,Studio Deen,21516,22
Yoru ni Natta Yuki no Hanashi,"Nov 2, 2018",none,00:06:00,Finished Airing,Movie,none,1,PG 13,Avant Garde,none,none,none,93,0
Frypan Jiisan,1981-01-01,none,00:21:00,Finished Airing,Movie,none,1,G,Adventure,none,NHK,none,297,0
Nageki no Ice Candy,2009,none,00:03:00,Finished Airing,Movie,none,1,PG 13,Slice of Life,none,none,"add some,None found,",209,0
Xiao Xiao Jiqiren: Zhanshen Tuji,Not available,none,00:13:00,Finished Airing,TV,?,44,PG,none,none,none,none,39,0
Black Lagoon: The Second Barrage,"2006-10-03,2006-12-19","tue,01:59:00",00:23:00,Finished Airing,TV,Fall 2006,12,R 17,Action,"Funimation,Geneon Entertainment USA","Geneon Universal Entertainment,Front Line",Madhouse,498440,2999
Yumemi Douji,"Apr 5, 1958",none,00:15:00,Finished Airing,Movie,none,1,G,Drama,none,none,Toei Animation,565,0
Kidou Senshi Gundam 0083: Stardust Memory Picture Drama - Uchuu no Kagerou 2,"Jan 29, 2016",none,00:11:00,Finished Airing,Special,none,1,PG 13,Action,none,none,Sunrise,2744,1
Happy ComeCome,"Mar 22, 2015",none,00:25:00,Finished Airing,Movie,none,1,G,"Sci-Fi,Slice of Life,Comedy",none,Exa International,SynergySP,1514,0
Tamashichi!,"Aug 6, 2015",none,00:03:00,Finished Airing,ONA,none,1,G,none,none,none,C2C,432,0
Chokotto Anime Kemono Friends 3,"Apr 2, 2019 to Sep 17, 2021",none,00:01:00,Finished Airing,ONA,none,26,PG,"Adventure,Fantasy,Comedy",none,none,none,1815,2
"Pokemon Fushigi no Dungeon: Toki no Tankentai, Yami no Tankentai",2007-09-09,None,00:21:00,Finished Airing,Special,None,1,PG,Adventure Fantasy,The Pokemon Company International,Nintendo of America Studio Jack,OLM,11369,3
Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!,2014-11-24,none,00:47:00,Finished Airing,Special,none,1,PG,none,none,TV Tokyo,Sunrise,1847,0
Tonari no Kyuuketsuki-san,"2018-10-05,2018-12-21","fri,21:00:00",00:23:00,Finished Airing,TV,Fall 2018,12,PG 13,"Supernatural,Comedy",Discotek Media,"Hakuhodo DY Music & Pictures,Frontier Works,AT-X,Nippon Columbia","AXsiZ,Studio Gokumi",102458,331
Hime Chen! Otogi Chikku Idol Lilpri,"2010-04-04,2011-03-27","sun,09:00:00",00:24:00,Finished Airing,TV,Spring 2010,51,PG,Fantasy,none,"Half H.P Studio,TV Tokyo,Shogakukan-Shueisha Productions",TMS Entertainment,10401,53
Hunter x Hunter Movie 1: Phantom Rouge,2013-01-12,none,01:37:00,Finished Airing,Movie,none,1,PG 13,"Fantasy,Action,Adventure",VIZ Media,"Hiroshima Television,Shueisha,Nippon Television Network,VAP,TOHO animation",Madhouse,191106,287
Hai! Akko desu,"1988-10-12,1992-03-26",Unknown,00:25:00,Finished Airing,TV,Fall 1988,164,G,"Romance,Slice of Life",none,none,Eiken,907,2
Aa! Megami-sama! Tatakau Tsubasa,2007-12-09,none,00:24:00,Finished Airing,Special,none,2,PG 13,"Comedy,Supernatural,Romance",none,Imagine,AIC,26819,21
Nobunaga the Fool,2014-01-06 2014-06-23,None,00:24:00,Finished Airing,TV,Winter 2014,24,R 17,Action Sci-Fi,Sentai Filmworks,Media Factory Lantis Sotsu TV Tokyo,Satelight,97790,163
SD Gundam Sangokuden Brave Battle Warriors,2010-04-03 2011-03-19,None,00:12:00,Finished Airing,TV,Spring 2010,51,PG,Action,"None found, add some",Sotsu TV Tokyo Music,Sunrise,4737,3
Wo Jiao Bi Yun Tao,2018-01-01,none,00:01:00,Finished Airing,TV,?,12,G,Comedy,none,none,none,62,0
Ushio to Tora,"1992-09-11,1993-08-01",none,00:30:00,Finished Airing,OVA,none,10,PG 13,"Horror,Comedy,Action",ADV Films,"Shogakukan,Toshiba EMI,OB Planning,Toho",Pastel,13753,38
Kyou kara Ore wa!!,"1993-04-01,1997-12-21",none,00:43:00,Finished Airing,OVA,none,10,R 17,Comedy,none,none,Pierrot,32487,408
The SoulTaker: Tamashii-gari - Komugi Daisakusen,2001-01-01,none,00:04:00,Finished Airing,Special,none,3,PG 13,Comedy,none,none,Tatsunoko Production,1922,0
Arslan Senki (TV): Fuujin Ranbu,"2016-07-03,2016-08-21","sun,17:00:00",00:24:00,Finished Airing,TV,Summer 2016,8,PG 13,"Fantasy,Drama,Action,Adventure",Funimation,"Graphinica,Magic Capsule,NBCUniversal Entertainment Japan,Mainichi Broadcasting System,Ultra Super Pictures",LIDENFILMS,138345,196
Whats Michael? 2,1988-07-25,none,00:44:00,Finished Airing,OVA,none,1,G,Comedy,none,Kitty Films,Kitty Film Mitaka Studio,724,0
Kyousou Giga (TV),"2013-10-10,2013-12-19","thur,01:30:00",00:25:00,Finished Airing,TV,Fall 2013,10,PG 13,"Action,Fantasy",Discotek Media,"Bandai Channel,Asatsu DK,Sony Music Communications,Aoni Production,Dwango",Toei Animation,185205,1943
Nana Maru San Batsu,"2017-07-05,2017-09-20","wed,01:59:00",00:23:00,Finished Airing,TV,Summer 2017,12,PG 13,none,none,"Toei Video,Enterbrain,Nippon Television Network",TMS Entertainment,74868,74
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Recaps,"2021-07-04,2021-07-18",none,00:23:00,Finished Airing,Special,none,3,PG 13,"Suspense,Drama",none,none,Shaft,4180,13
Dead Heat,"Aug 7, 1987",none,00:31:00,Finished Airing,OVA,none,1,PG 13,"Sports,Sci-Fi,Action",none,none,Sunrise,1473,0
Uchuu Camper Chicchi,"Mar 30, 2022",none,00:09:00,Finished Airing,ONA,none,1,G,Sci-Fi,none,none,Production +h.,615,0
Ai Mai! Moe Can Change!,"May 25, 2012",none,00:24:00,Finished Airing,OVA,none,1,PG 13,"Sci-Fi,Comedy",none,none,Frontier Works,7230,9
Tokyo Ravens: Kon ga Oshiete Moshi Agemasu! Maru Wakari Tokyo Ravens,"2013-10-23,2014-01-30",none,00:05:00,Finished Airing,ONA,none,3,PG 13,Supernatural,Funimation,"Geneon Universal Entertainment,Tokyo MX","None found,,add some",13098,8
The IDOLM@STER Cinderella Girls: U149 Recap,2023-05-25,none,00:23:00,Finished Airing,Special,none,1,PG 13,none,none,none,CygamesPictures,583,1
Shin Chou Kyou Ryo: Condor Hero,"2001-04-11,2002-10-28",Unknown,00:24:00,Finished Airing,TV,Spring 2001,26,PG 13,"Drama,Adventure,Romance",none,Jade Animation,Nippon Animation,8949,32
Queens Blade Rebellion vs. Hagure Yuusha no Aesthetica,2012-06-27,none,00:03:00,Finished Airing,Special,none,1,R+,"Fantasy,Ecchi,Action",none,none,Arms,14509,8
Yongzhe Donghua Xilie,"Jul 4, 2021 to Jul 18, 2021",none,00:26:00,Finished Airing,ONA,none,6,PG 13,"Comedy,Fantasy",none,none,Bigcat Studio,99,0
Kagejitsu!,2022-10-26 2023-02-15,None,00:02:00,Finished Airing,ONA,None,17,PG 13,Fantasy Comedy,"None found, add some",AT-X NewGin Kadokawa BS NTV Aiming,Studio PuYUKAI,11321,51
"Yakeato no, Okashi no Ki","Aug 15, 2006",none,00:45:00,Finished Airing,Special,none,1,G,Drama,none,none,Shin-Ei Animation,537,0
Templex,2015-01-01,none,00:03:00,Finished Airing,Movie,none,1,G,Avant Garde,none,Geidai Animation,none,545,1
Akuma no Riddle: Shousha wa Dare? Nukiuchi Test,2014-11-22,none,00:23:00,Finished Airing,Special,none,1,R 17,"Comedy,Ecchi,Girls Love,Action",Funimation,Pony Canyon,Diomedéa,39529,33
Mashiro Witch,"Mar 14, 2017",none,00:02:00,Finished Airing,ONA,none,1,PG 13,none,none,none,none,393,1
ReLIFE: Kanketsu-hen,2018-03-21,none,00:23:00,Finished Airing,Special,none,4,PG 13,"Drama,Romance",Funimation,"comico,TMS Music",TMS Entertainment,372878,1726
Restol: Teugsu Gujo Dae,"Jan 29, 1999 to Jul 23, 1999",none,00:25:00,Finished Airing,TV,Winter 1999,26,G,"Adventure,Action",none,none,none,921,1
Xinghe Zhizun 2nd Season,"Apr 13, 2022 to May 7, 2023",none,00:07:00,Finished Airing,ONA,none,112,PG 13,"Action,Fantasy",none,Youku,Ruo Hong Culture,633,2
Omake,2003-01-01,none,00:02:00,Finished Airing,Movie,none,1,G,Comedy,none,"Yamamura Animation, Inc.",none,767,0
Ultraman: Chou Toushi Gekiden - Suisei Senjin Tsuifon Toujou,"Sep 25, 1996",none,00:40:00,Finished Airing,OVA,none,1,PG,"Action,Sci-Fi",none,"Tsuburaya Productions,Bandai Visual",none,772,2
Kingdom 3rd Season,"2020-04-06,2021-10-17","mon,00:10:00",00:25:00,Finished Airing,TV,Spring 2020,26,R 17,Action,Funimation,Shueisha,"Studio Signpost,Pierrot",91988,1860
Anmitsu Hime,"1986-10-05,1987-09-27","sun,18:00:00",00:24:00,Finished Airing,TV,Fall 1986,51,G,Comedy,none,Fujipacific Music,Pierrot,1473,13
Chio-chan no Tsuugakuro,"2018-07-06,2018-09-21","fri,22:00:00",00:23:00,Finished Airing,TV,Summer 2018,12,PG 13,Comedy,Funimation,none,Diomedéa,115943,396
Pokemon Best Wishes!,"2010-09-23,2012-06-14","thur,19:00:00",00:22:00,Finished Airing,TV,Fall 2010,84,PG,"Comedy,Adventure,Fantasy,Action","VIZ Media,The Pokemon Company International","MediaNet,Studio Jack,TV Tokyo,Half H.P Studio",OLM,99273,153
Kenzen Robo Daimidaler Specials,"2014-07-25,2014-12-24",none,00:03:00,Finished Airing,Special,none,6,R+,"Comedy,Ecchi",Funimation,Genco,TNK,8083,0
Itazura Majo to Nemuranai Machi,"Dec 1, 2017",none,00:40:00,Finished Airing,ONA,none,1,G,"Action,Fantasy",none,XFLAG,SANZIGEN,4623,5
Tobidasu PriPara: Mi~nna de Mezase! Idol☆Grand Prix,2015-10-24,None,00:59:00,Finished Airing,Movie,None,1,PG,Slice of Life,"None found, add some",Q-Tec Avex Pictures,10Gauge,1743,2
Gyouten Ningen Batsealer,"2001-04-07,2002-03-30",Unknown,00:25:00,Finished Airing,TV,Spring 2001,52,PG,"Adventure,Fantasy,Action",none,Group TAC,"None found,,add some",645,3
Tekkon Kinkreet Pilot,"Jan 1, 1999",none,00:04:00,Finished Airing,Special,none,1,G,"Supernatural,Adventure,Action",none,none,none,1969,1
Boku no Imouto wa Osaka Okan,"Dec 22, 2012 to Mar 16, 2013",none,00:03:00,Finished Airing,TV,Winter 2013,12,PG 13,"Comedy,Gourmet",none,"Toho,Bouncy",Charaction,19198,6
White Fantasy,"Dec 5, 2014",none,00:02:00,Finished Airing,Special,none,1,G,"Fantasy,Sports",none,none,none,1554,1
Harmony,2015-11-13,None,01:59:00,Finished Airing,Movie,None,1,R+,Sci-Fi,Funimation,Aniplex Dentsu Fujipacific Music Kansai Telecasting Beyond C. Sony Music Entertainment Kyoraku Industrial Holdings Fuji TV Toho,Studio 4°C,58732,258
Taoqi Xing Mao 2nd Season,Not available,none,00:12:00,Finished Airing,TV,?,13,PG,none,none,none,none,45,0
Zettai Muteki Raijin-Oh (1992),"1992-09-30,1993-02-24",none,00:29:00,Finished Airing,OVA,none,4,G,Sci-Fi,none,Toshiba EMI,Sunrise,726,1
Shashinkan,2013-11-09,none,00:16:00,Finished Airing,Movie,none,1,G,"Drama,Slice of Life",none,none,Studio Colorido,7697,9
Tonbo ni Natta Yat-chan,1973-01-01,none,00:15:00,Finished Airing,Movie,none,1,G,none,none,none,none,125,0
Tu Xiao Bei Chengyu Gushi,Not available,none,00:03:00,Finished Airing,ONA,none,90,PG,none,none,none,none,35,0
Wakakusa Monogatari: Nan to Jo-sensei,"1993-01-17,1993-12-19","sun,19:30:00",00:25:00,Finished Airing,TV,Winter 1993,40,G,"Drama,Slice of Life",none,none,Nippon Animation,6400,44
Huoli Shaonian Wang zhi Chuanqi Zaixian,"Sep 9, 2014 to Oct 18, 2014",none,00:23:00,Finished Airing,TV,Fall 2014,40,G,Fantasy,none,Alpha Group Co. Ltd.,none,431,3
Sword Art Online II: Sword Art Offline II,"2014-10-22,2015-06-24",none,00:13:00,Finished Airing,Special,none,9,PG 13,Comedy,Aniplex of America,Aniplex,I was a Ballerina,62167,168
Mahou Sensou,"2014-01-10,2014-03-28",Unknown,00:24:00,Finished Airing,TV,Winter 2014,12,PG 13,"Fantasy,Action",Sentai Filmworks,"flying DOG,Media Factory,TBS",Madhouse,247668,335
Yi Nian Yong Heng,"2020-08-12,2021-07-21",none,00:19:00,Finished Airing,ONA,none,52,PG 13,"Action,Fantasy,Comedy",none,Tencent Penguin Pictures,B.CMAY PICTURES,14877,148
Ro-Kyu-Bu!: Tomoka no Ichigo Sundae,2013-06-20,None,00:25:00,Finished Airing,OVA,None,1,PG 13,Comedy Sports Ecchi,"None found, add some",Studio Blanc.,Project No.9,17298,8
Saiki Kusuo no Ψ-nan,"2016-07-04,2016-12-26",Not scheduled once per week,00:05:00,Finished Airing,TV,Summer 2016,120,PG 13,"Supernatural,Comedy",Funimation,"TV Tokyo,Dear Stage inc.,KlockWorx,Shueisha,Pony Canyon,Nippon Columbia,Asmik Ace,Toy's Factory,Bandai Namco Entertainment,Shogakukan-Shueisha Productions","J.C.Staff,Egg Firm",1043330,27826
Starmyu 3rd Season: Encore,2019-09-30,none,00:23:00,Finished Airing,Special,none,1,PG 13,Slice of Life,none,none,"None found,,add some",1249,2
Ninja Collection,"Jul 13, 2020 to Oct 26, 2020",Mondays at 03:05 (JST),00:04:00,Finished Airing,TV,Summer 2020,13,PG 13,"Horror,Supernatural",none,"TV Tokyo,TV Tokyo Music","ILCA,Toho Interactive Animation,DRAWIZ",16336,27
Kandagawa Jet Girls: Koko kara Hajimaru Tokyo Girls Promotion,"Jan 24, 2020",none,00:22:00,Finished Airing,OVA,none,1,PG 13,Ecchi,Sentai Filmworks,none,TNK,7725,6
Youjo Shenki Episode 0,2017-01-06,none,00:01:00,Finished Airing,ONA,none,1,G,none,none,none,Studio PuYUKAI,16817,10
Xiong Chumo: Xiong Zin Guilai,"Jan 30, 2016",none,01:38:00,Finished Airing,Movie,none,1,PG,"Comedy,Adventure",none,Fantawild Animation,none,279,0
Pokemon: Mezase Pokemon Master,"2023-01-13,2023-03-24","fri,18:55:00",00:24:00,Finished Airing,TV,Winter 2023,11,PG,"Comedy,Action,Adventure,Fantasy",none,TV Tokyo,OLM,19604,129
Dragon Quest X: Boukensha-tachi no Kiseki,"Aug 7, 2017 to Dec 10, 2017",none,00:06:00,Finished Airing,ONA,none,2,G,Slice of Life,none,Square Enix,none,603,0
Guilty Gear X,"Mar 3, 2003",none,00:05:00,Finished Airing,Special,none,1,R 17,Action,none,none,none,1483,8
Fushigi no Umi no Nadia,"1990-04-13,1991-04-12","fri,19:30:00",00:25:00,Finished Airing,TV,Spring 1990,39,PG 13,"Comedy,Sci-Fi,Adventure,Romance","GKIDS,ADV Films,Sentai Filmworks","NHK,Sogo Vision,Streamline Pictures",Gainax,65227,505
Overlord IV,"2022-07-05,2022-09-27","tue,22:00:00",00:23:00,Finished Airing,TV,Summer 2022,13,R 17,"Action,Fantasy,Adventure",none,"Kadokawa,Hakuhodo DY Music & Pictures,NTT Plala,AT-X",Madhouse,466657,6710
Zoids Shinseiki/Zero,"2001-01-06,2001-06-30",Unknown,00:24:00,Finished Airing,TV,Winter 2001,26,PG,"Comedy,Sci-Fi,Adventure,Sports",VIZ Media,none,Xebec,28140,152
Lord of Vermilion: Guren no Ou,"Jul 14, 2018 to Sep 29, 2018",Saturdays at 01:10 (JST),00:23:00,Finished Airing,TV,Summer 2018,12,PG 13,"Fantasy,Action",Funimation,"Kadokawa,flying DOG","asread.,Tear Studio",43702,39
Chameleon (OVA),"1992-08-16,1996-03-22",none,00:50:00,Finished Airing,OVA,none,6,R+,"Comedy,Ecchi",ADV Films,"HoriPro,Daume",Egg,1944,3
Kenda Master Ken (TV),"Apr 1, 2022 to Jun 3, 2022",fri,00:13:00,Finished Airing,TV,Spring 2022,10,PG 13,Comedy,none,none,Studio Kingyoiro,755,5
Kaze no Na wa Amnesia,1990-12-22,none,01:20:00,Finished Airing,Movie,none,1,R+,"Avant Garde,Drama,Sci-Fi,Action","Central Park Media,Discotek Media",Japan Home Video,Madhouse,18929,45
Mashiro-iro Symphony: The Color of Lovers,"2011-10-05,2011-12-21","wed,02:00:00",00:24:00,Finished Airing,TV,Fall 2011,12,R+,"Drama,Romance",Sentai Filmworks,"Media Factory,Lantis,Frontier Works",Manglobe,152443,502
Shikabane Hime: Aka,"2008-10-02,2008-12-25",Unknown,00:24:00,Finished Airing,TV,Fall 2008,13,R 17,"Horror,Supernatural,Action",Funimation,"Square Enix,Starchild Records","Gainax,feel.",120900,238
One Piece: Romance Dawn Story,2008-11-24,None,00:33:00,Finished Airing,OVA,None,1,PG 13,Fantasy Action Adventure,None,None,Toei Animation,50694,24
Shokugeki no Souma: Ni no Sara OVA,"2017-05-01,2017-07-04",none,00:25:00,Finished Airing,OVA,none,2,PG 13,"Gourmet,Ecchi",none,"Warner Bros. Japan,Shueisha",J.C.Staff,158355,105
Chibi Kero: Kerobouru no Himitsu!?,2007-03-17,none,00:17:00,Finished Airing,Special,none,1,G,Comedy,none,none,Sunrise,1403,2
Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,1978-08-05,None,02:32:00,Finished Airing,Movie,None,1,PG 13,Action Sci-Fi Drama,"None found, add some","None found, add some",Group TAC,4238,11
Haha wo Tazunete Sanzenri Specials,2001,none,00:45:00,Finished Airing,Special,none,2,G,"Slice of Life,Drama,Adventure",none,none,Nippon Animation,495,0
One Outs,"2008-10-08,2009-04-01",Unknown,00:23:00,Finished Airing,TV,Fall 2008,25,PG 13,Sports,none,"D.N. Dream Partners,Nippon Television Network,VAP",Madhouse,229998,3948
Kinpatsu no Jeanie,"Jul 19, 1979 to Oct 18, 1979",none,00:25:00,Finished Airing,TV,Summer 1979,13,G,Drama,none,none,DAX Production,1170,0
Hyakka Ryouran: Samurai Girls,"2010-09-04,2010-12-20",Unknown,00:24:00,Finished Airing,TV,Fall 2010,12,R+,"Action,Comedy,Ecchi",Sentai Filmworks,"Movic,Genco,Hobby Japan,Lantis,Showgate,Media Factory,Gigno Systems",Arms,178326,297
Pokemon 3D Adventure: Mew wo Sagase!,2005-03-18,none,00:11:00,Finished Airing,Movie,none,1,PG,"Adventure,Fantasy,Comedy",none,none,OLM,10696,6
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,2019-12-30,none,00:22:00,Finished Airing,ONA,none,6,PG 13,"Supernatural,Comedy",none,none,"J.C.Staff,Egg Firm",210710,436
Teekyuu 8 Specials,"Feb 24, 2017",none,00:02:00,Finished Airing,Special,none,2,PG 13,"Comedy,Sports",none,none,Millepensee,3481,0
Maabou no Kinoshita Toukichirou,"Dec 5, 1938",none,00:06:00,Finished Airing,Movie,none,1,G,none,none,none,none,1268,0
Nodame Cantabile: Paris-hen,"2008-10-10,2008-12-19","fri,00:45:00",00:23:00,Finished Airing,TV,Fall 2008,11,PG 13,"Comedy,Romance",none,"Dentsu,Genco,Asmik Ace,Kodansha,Sony Music Entertainment,SKY Perfect Well Think,Fuji TV",J.C.Staff,122021,281
Miira no Yume,1989-01-01,none,00:05:00,Finished Airing,Movie,none,1,G,Avant Garde,none,none,none,535,0
Waitan 520,2006 to ?,none,00:24:00,Finished Airing,TV,?,26,PG 13,"Drama,Romance",none,none,none,46,0
Shin Captain Tsubasa,"1989-07-01,1990-07-01",none,00:26:00,Finished Airing,OVA,none,13,G,Sports,none,"Studio Comet,Nihon Ad Systems,Fuji TV",Nippon Animation,12257,19
Bakuten!!,"2021-04-09,2021-06-25","fri,00:55:00",00:22:00,Finished Airing,TV,Spring 2021,12,PG 13,Sports,none,"Aniplex,BS Fuji,Dentsu,Aeon Entertainment,Animax,Movic,Fuji TV",Zexcs,100281,898
Ginga Hyouryuu Vifam: Keito no Kioku - Namida no Dakkai Sakusen,1985-09-25,none,00:57:00,Finished Airing,OVA,none,1,G,"Adventure,Sci-Fi,Action",none,none,Sunrise,768,0
Haha wo Tazunete Sanzenri (Movie),1980-07-19,none,01:47:00,Finished Airing,Movie,none,1,G,"Adventure,Slice of Life,Drama",none,none,Nippon Animation,560,0
Mame-Mofu Collab Animation,2008-01-01,none,00:02:00,Finished Airing,ONA,none,1,G,Comedy,none,none,none,546,0
Screw,1982-01-01,none,00:02:00,Finished Airing,Movie,none,1,G,Avant Garde,none,none,none,379,0
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,1997-12-20,none,01:31:00,Finished Airing,Movie,none,1,R 17,Drama,"Aniplex of America,ADV Films","Fuji TV,Sony Music Entertainment",Gallop,50990,88
Lie Huo Jiao Chou,2021-10-07 2021-12-16,None,00:20:00,Finished Airing,ONA,None,12,PG 13,Action Supernatural Drama,"None found, add some",bilibili,Shengying Animation,7409,65
Lupin III (2015): Italian Game,2016-01-08,none,01:31:00,Finished Airing,Special,none,1,PG 13,"Comedy,Adventure,Action",none,Telecom Animation Film,TMS Entertainment,5684,2
Dokidoki! Precure,"2013-02-03,2014-01-26",Unknown,00:24:00,Finished Airing,TV,Winter 2013,49,G,"Action,Fantasy",Saban Entertainment,Asahi Broadcasting,Toei Animation,25404,155
Fruits Basket 1st Season,"2019-04-06,2019-09-21","sat,01:23:00",00:23:00,Finished Airing,TV,Spring 2019,25,PG 13,"Drama,Supernatural,Romance",Funimation,"TV Tokyo,Hakusensha,TV Osaka,Nihon Ad Systems,Avex Pictures,TMS Music,8PAN",TMS Entertainment,779143,15217
Baa-cha no Kingyo,2012-10-28,none,00:08:00,Finished Airing,ONA,none,1,G,Slice of Life,none,none,"add some,None found,",1074,2
Tatsunoko Pro x Peeping Life,"Dec 26, 2011 to Jan 18, 2012",none,00:04:00,Finished Airing,ONA,none,4,G,"Slice of Life,Comedy",none,none,none,404,0
Tottoko Hamtarou no Tottoko Daijida!! Bousai Kunren,2003,none,00:13:00,Finished Airing,OVA,none,1,G,Drama,none,none,"add some,None found,",560,0
Blue Dragon,"2007-04-07,2008-03-29","sat,09:00:00",00:25:00,Finished Airing,TV,Spring 2007,51,PG,"Comedy,Adventure,Fantasy,Supernatural",VIZ Media,Pony Canyon,Pierrot,53047,109
Chi's Sweet Home: Atarashii Ouchi,"2009-03-30,2009-09-24",Not scheduled once per week,00:03:00,Finished Airing,TV,Spring 2009,104,G,"Slice of Life,Comedy",Discotek Media,none,Madhouse,29400,109
e-ma Nodo Ame CMs,"Feb 12, 2021",none,15 sec. per ep.,Finished Airing,Special,none,3,G,none,none,none,none,585,0
Green Green OVA,2002-12-20,none,00:26:00,Finished Airing,OVA,none,1,PG 13,"Comedy,Romance,Ecchi",none,"Media Factory,StarLink","add some,None found,",27513,9
High☆Speed! Movie: Free! Starting Days,2015-12-05,none,01:50:00,Finished Airing,Movie,none,1,PG 13,"Drama,Sports",Funimation,"Asahi Broadcasting,Shochiku,I Will",Kyoto Animation,90357,280
Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!,2015-10-31,none,01:15:00,Finished Airing,Movie,none,1,G,Fantasy,none,Kinoshita Group Holdings,Toei Animation,3767,5
Xian Wang de Richang Shenghuo,2020-01-18 2020-03-28,None,00:19:00,Finished Airing,ONA,None,15,PG 13,Comedy Fantasy Adventure,bilibili,None,Haoliners Animation League,297833,1972
Miyuki,1983-03-31 1984-04-20,None,00:25:00,Finished Airing,TV,Spring 1983,37,PG 13,Romance,"None found, add some",Kitty Films,Kitty Film Mitaka Studio,4122,9
Hello Kitty no Kieta Santa-san no Okurimono,2004-01-01,none,00:09:00,Finished Airing,OVA,none,1,G,none,none,Sanrio,none,392,0
Mahou no Yousei Persia,"1984-07-06,1985-05-31",Unknown,00:24:00,Finished Airing,TV,Summer 1984,48,PG,Comedy,none,none,Pierrot,3316,21
Clockwork Planet,"2017-04-07,2017-06-23","fri,01:58:00",00:24:00,Finished Airing,TV,Spring 2017,12,PG 13,"Fantasy,Sci-Fi",Funimation,"Kodansha,TBS,NichiNare,NBCUniversal Entertainment Japan,GYAO!,Akatsuki",Xebec,154852,419
Detective Conan OVA 01: Conan vs. Kid vs. Yaiba - Houtou Soudatsu Daikessen!!,2000-10-11,none,00:24:00,Finished Airing,OVA,none,1,PG 13,"Comedy,Mystery,Adventure",none,none,TMS Entertainment,19767,11
Yao Shu Yu Songshu,1997-01-01,none,00:19:00,Finished Airing,Movie,none,1,PG,Fantasy,none,none,Shanghai Animation Film Studio,54,0
Persona 5 the Animation TV Specials,"2018-12-31,2019-03-23",none,00:50:00,Finished Airing,Special,none,2,R 17,"Fantasy,Supernatural,Action",Aniplex of America,none,CloverWorks,33542,38
Saiyuuki Reload,"2003-10-02,2004-03-25",Unknown,00:23:00,Finished Airing,TV,Fall 2003,25,PG 13,"Comedy,Adventure,Action,Supernatural,Drama","Geneon Entertainment USA,Discotek Media",none,Pierrot,34354,112
Sin: Nanatsu no Taizai Zange-roku Specials,"Jun 28, 2017 to Dec 20, 2017",none,00:01:00,Finished Airing,Special,none,7,R+,"Ecchi,Fantasy",none,none,"TNK,Artland",7931,6
Peeping Life: The Perfect Extension,"Sep 23, 2011",none,00:05:00,Finished Airing,OVA,none,10,G,"Comedy,Slice of Life",none,CoMix Wave Films,none,634,0
Goku Sayonara Zetsubou Sensei,"2008-10-17,2009-02-17",none,00:25:00,Finished Airing,OVA,none,3,R 17,Comedy,none,none,Shaft,63441,85
Katte ni Kaizou Specials,"2011-05-25,2011-10-26",none,00:07:00,Finished Airing,Special,none,3,R+,"Comedy,Sci-Fi",none,none,Shaft,3007,1
Magic Knight Rayearth Pilot,2014-10-29,none,00:04:00,Finished Airing,Special,none,1,PG 13,Fantasy,none,none,Tokyo Movie Shinsha,1213,1
Xiongmao Chuan,2011-01-01,none,01:27:00,Finished Airing,Movie,none,1,None,Comedy,none,none,none,38,0
Fumiko no Kokuhaku,2009-11-08,None,00:02:00,Finished Airing,ONA,None,1,PG 13,Award Winning Comedy,"None found, add some","None found, add some","None found, add some",27423,19
Ensemble Stars!! 5th Anniversary Animation PV,2021-04-12,none,00:04:00,Finished Airing,Special,none,1,PG 13,none,none,none,David Production,1196,8
Holiday Advent Calendar 2018,"Dec 9, 2018 to Dec 25, 2018",none,28 sec. per ep.,Finished Airing,ONA,none,13,G,none,none,none,none,286,0
Gundress,"Mar 20, 1999",none,01:25:00,Finished Airing,Movie,none,1,R+,"Sci-Fi,Action",Media Blasters,"Nikkatsu,Sanctuary",Studio Junio,4072,1
Xiao Wukong,"Jul 14, 2018",none,01:17:00,Finished Airing,Movie,none,1,PG,"Adventure,Fantasy",none,none,none,50,0
Shougakusei no Yuukai Boushi: Yumi-chan Abunai yo!,"May 21, 1991",none,00:14:00,Finished Airing,OVA,none,1,G,none,none,none,Pierrot,428,1
Hikari to Mizu no Daphne Specials,2004-04-23 2004-10-22,None,00:24:00,Finished Airing,Special,None,2,PG 13,Action Comedy Ecchi,Sentai Filmworks,"None found, add some",J.C.Staff,3363,0
Peeping Life: The Perfect Evolution Specials,"Jan 27, 2011",none,00:03:00,Finished Airing,Special,none,3,G,"Slice of Life,Comedy",none,CoMix Wave Films,none,593,0
